0
Diameter:	   5.00
   1.00
Area:	  19.6350
GaugeLength:	  50.00
2016-4-13
1020
001
DataNumber:	4830
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
  377	  5.2120	  0.4740	   1.234	  75.595
  378	  5.2060	  0.4780	   1.236	  75.795
  379	  5.2100	  0.4800	   1.240	  75.995
  380	  5.2160	  0.4840	   1.244	  76.195
  381	  5.2180	  0.4860	   1.246	  76.395
  382	  5.2100	  0.4900	   1.250	  76.595
  383	  5.2000	  0.4940	   1.252	  76.795
  384	  5.1980	  0.4960	   1.256	  76.995
  385	  5.2100	  0.5000	   1.259	  77.195
  386	  5.2220	  0.5040	   1.262	  77.395
  387	  5.2340	  0.5060	   1.265	  77.595
  388	  5.2420	  0.5080	   1.269	  77.795
  389	  5.2480	  0.5120	   1.271	  77.995
  390	  5.2560	  0.5140	   1.275	  78.195
  391	  5.2640	  0.5180	   1.279	  78.395
  392	  5.2740	  0.5220	   1.281	  78.595
  393	  5.2740	  0.5240	   1.285	  78.795
  394	  5.2620	  0.5280	   1.288	  78.995
  395	  5.2500	  0.5320	   1.291	  79.195
  396	  5.2480	  0.5360	   1.294	  79.395
  397	  5.2440	  0.5400	   1.298	  79.595
  398	  5.2340	  0.5420	   1.300	  79.795
  399	  5.2080	  0.5460	   1.304	  79.995
  400	  5.1780	  0.5520	   1.308	  80.195
  401	  5.1760	  0.5540	   1.310	  80.395
  402	  5.1800	  0.5580	   1.314	  80.595
  403	  5.1820	  0.5620	   1.317	  80.795
  404	  5.1840	  0.5640	   1.320	  80.995
  405	  5.1840	  0.5680	   1.324	  81.195
  406	  5.1860	  0.5700	   1.327	  81.395
  407	  5.1900	  0.5740	   1.330	  81.595
  408	  5.1980	  0.5760	   1.334	  81.795
  409	  5.2040	  0.5800	   1.336	  81.995
  410	  5.2100	  0.5820	   1.340	  82.195
  411	  5.2200	  0.5860	   1.344	  82.395
  412	  5.2340	  0.5880	   1.346	  82.595
  413	  5.2420	  0.5920	   1.350	  82.795
  414	  5.2460	  0.5940	   1.352	  82.995
  415	  5.2540	  0.5980	   1.356	  83.195
  416	  5.2660	  0.6020	   1.360	  83.395
  417	  5.2780	  0.6040	   1.362	  83.595
  418	  5.2880	  0.6080	   1.366	  83.795
  419	  5.2920	  0.6100	   1.370	  83.995
  420	  5.2960	  0.6140	   1.372	  84.195
  421	  5.2960	  0.6180	   1.376	  84.395
  422	  5.2880	  0.6220	   1.379	  84.595
  423	  5.2720	  0.6260	   1.382	  84.795
  424	  5.2320	  0.6300	   1.386	  84.995
  425	  5.2040	  0.6340	   1.389	  85.195
  426	  5.1960	  0.6380	   1.392	  85.395
  427	  5.2060	  0.6400	   1.395	  85.595
  428	  5.2200	  0.6420	   1.399	  85.795
  429	  5.2360	  0.6460	   1.402	  85.995
  430	  5.2500	  0.6480	   1.405	  86.195
  431	  5.2640	  0.6520	   1.409	  86.395
  432	  5.2780	  0.6540	   1.413	  86.595
  433	  5.2900	  0.6580	   1.415	  86.795
  434	  5.2900	  0.6600	   1.419	  86.995
  435	  5.2880	  0.6640	   1.421	  87.195
  436	  5.2880	  0.6680	   1.425	  87.395
  437	  5.2960	  0.6700	   1.429	  87.595
  438	  5.3100	  0.6740	   1.431	  87.795
  439	  5.3280	  0.6760	   1.435	  87.995
  440	  5.3480	  0.6780	   1.439	  88.195
  441	  5.3680	  0.6820	   1.441	  88.395
  442	  5.3840	  0.6840	   1.445	  88.595
  443	  5.3980	  0.6860	   1.447	  88.795
  444	  5.4120	  0.6900	   1.451	  88.995
  445	  5.4220	  0.6920	   1.455	  89.195
  446	  5.4340	  0.6960	   1.457	  89.395
  447	  5.4440	  0.6980	   1.461	  89.595
  448	  5.4540	  0.7000	   1.465	  89.795
  449	  5.4620	  0.7040	   1.467	  89.995
  450	  5.4720	  0.7060	   1.471	  90.195
  451	  5.4800	  0.7100	   1.474	  90.395
  452	  5.4880	  0.7120	   1.477	  90.595
  453	  5.4960	  0.7140	   1.481	  90.795
  454	  5.5040	  0.7160	   1.484	  90.995
  455	  5.5120	  0.7180	   1.487	  91.195
  456	  5.5180	  0.7200	   1.491	  91.395
  457	  5.5240	  0.7220	   1.494	  91.595
  458	  5.5300	  0.7240	   1.497	  91.795
  459	  5.5360	  0.7260	   1.500	  91.995
  460	  5.5420	  0.7300	   1.504	  92.195
  461	  5.5480	  0.7320	   1.507	  92.395
  462	  5.5540	  0.7340	   1.510	  92.595
  463	  5.5580	  0.7360	   1.514	  92.795
  464	  5.5640	  0.7380	   1.517	  92.995
  465	  5.5700	  0.7400	   1.520	  93.195
  466	  5.5740	  0.7420	   1.524	  93.395
  467	  5.5820	  0.7440	   1.527	  93.595
  468	  5.5860	  0.7460	   1.530	  93.795
  469	  5.5900	  0.7480	   1.534	  93.995
  470	  5.5940	  0.7500	   1.536	  94.195
  471	  5.6000	  0.7520	   1.540	  94.395
  472	  5.6040	  0.7540	   1.544	  94.595
  473	  5.6080	  0.7560	   1.546	  94.795
  474	  5.6120	  0.7580	   1.550	  94.995
  475	  5.6160	  0.7600	   1.554	  95.195
  476	  5.6180	  0.7600	   1.556	  95.395
  477	  5.6220	  0.7620	   1.560	  95.595
  478	  5.6240	  0.7640	   1.562	  95.795
  479	  5.6280	  0.7660	   1.566	  95.995
  480	  5.6320	  0.7680	   1.570	  96.195
  481	  5.6360	  0.7700	   1.572	  96.395
  482	  5.6380	  0.7720	   1.576	  96.595
  483	  5.6420	  0.7720	   1.580	  96.795
  484	  5.6460	  0.7740	   1.582	  96.995
  485	  5.6480	  0.7760	   1.586	  97.195
  486	  5.6500	  0.7780	   1.589	  97.395
  487	  5.6540	  0.7800	   1.592	  97.595
  488	  5.6560	  0.7800	   1.596	  97.795
  489	  5.6580	  0.7820	   1.599	  97.995
  490	  5.6620	  0.7840	   1.602	  98.195
  491	  5.6640	  0.7840	   1.606	  98.395
  492	  5.6680	  0.7860	   1.609	  98.595
  493	  5.6720	  0.7880	   1.612	  98.795
  494	  5.6760	  0.7900	   1.616	  98.995
  495	  5.6780	  0.7900	   1.619	  99.195
  496	  5.6820	  0.7920	   1.622	  99.395
  497	  5.6860	  0.7940	   1.626	  99.595
  498	  5.6900	  0.7960	   1.629	  99.795
  499	  5.6920	  0.7980	   1.632	  99.995
  500	  5.6980	  0.7980	   1.635	 100.195
  501	  5.7040	  0.8000	   1.639	 100.395
  502	  5.7100	  0.8020	   1.642	 100.595
  503	  5.7140	  0.8040	   1.645	 100.795
  504	  5.7160	  0.8040	   1.649	 100.995
  505	  5.7220	  0.8060	   1.652	 101.195
  506	  5.7260	  0.8080	   1.655	 101.395
  507	  5.7320	  0.8100	   1.659	 101.595
  508	  5.7360	  0.8120	   1.662	 101.795
  509	  5.7400	  0.8120	   1.665	 101.995
  510	  5.7440	  0.8140	   1.669	 102.195
  511	  5.7500	  0.8160	   1.673	 102.395
  512	  5.7540	  0.8180	   1.675	 102.595
  513	  5.7580	  0.8200	   1.679	 102.795
  514	  5.7640	  0.8220	   1.683	 102.995
  515	  5.7680	  0.8240	   1.685	 103.195
  516	  5.7740	  0.8260	   1.689	 103.395
  517	  5.7780	  0.8280	   1.692	 103.595
  518	  5.7820	  0.8300	   1.695	 103.795
  519	  5.7880	  0.8320	   1.699	 103.995
  520	  5.7900	  0.8320	   1.701	 104.195
  521	  5.7940	  0.8360	   1.705	 104.395
  522	  5.7980	  0.8380	   1.709	 104.595
  523	  5.8020	  0.8400	   1.711	 104.795
  524	  5.8060	  0.8420	   1.715	 104.995
  525	  5.8080	  0.8460	   1.719	 105.195
  526	  5.8100	  0.8480	   1.721	 105.395
  527	  5.8140	  0.8500	   1.725	 105.595
  528	  5.8180	  0.8520	   1.729	 105.795
  529	  5.8220	  0.8540	   1.731	 105.995
  530	  5.8260	  0.8580	   1.735	 106.195
  531	  5.8320	  0.8600	   1.737	 106.395
  532	  5.8400	  0.8620	   1.741	 106.595
  533	  5.8460	  0.8640	   1.745	 106.795
  534	  5.8520	  0.8660	   1.747	 106.995
  535	  5.8580	  0.8680	   1.751	 107.195
  536	  5.8640	  0.8700	   1.755	 107.395
  537	  5.8700	  0.8720	   1.757	 107.595
  538	  5.8740	  0.8740	   1.761	 107.795
  539	  5.8800	  0.8760	   1.765	 107.995
